Protein accession,Gene name,FY_1,FY_2,FY_3,FY_4,MY_1,MY_2,MY_3,MY_4,FV_1,FV_2,FV_3,FV_4,MV_1,MV_2,MV_3,MV_4,FWT_1,FWT_2,FWT_3,FWT_4,MWT_1,MWT_2,MWT_3,MWT_4,FGES_1,FGES_2,FGES_3,FGES_4,MGES_1,MGES_2,MGES_3,MGES_4
A0A2K5V619,THBS1,1.208309627,1.16186035,1.249058595,1.233459625,0.743335514,0.772046533,0.736534363,0.777011463,0.699578173,0.760570148,0.755480427,0.716046229,0.78265829,0.821793879,0.802865642,0.82002451,0.638381183,0.6935436,0.640333283,0.668264354,1.050127153,1.106791527,1.072607497,1.043736031,1.486252084,1.473576806,1.453556642,1.506704563,1.260900442,1.279908902,1.276726712,1.307955851
A0A2K5V9B8,SFRP1,0.580876381,0.510336253,0.516482841,0.490927298,0.571999232,0.477425771,0.553698194,0.635228988,2.070204849,2.078145447,2.4283415,2.570688484,0.68876682,0.766139,0.76915831,0.71779865,0.639189871,0.589205534,0.655918482,0.577551373,0.907092456,0.750195033,0.798817855,0.724276671,0.954189931,0.872166381,0.753565864,0.857741485,1.60039138,1.78998649,1.569721214,1.533771962
A0A2K5VB30,CMPK1,0.308368212,0.35083397,0.403074162,0.393980392,1.101374074,1.080731319,1.2024985,1.095449613,1.00022179,0.932759076,1.143421035,0.97398887,1.205488589,1.241453226,1.388756878,1.2844195,0.764425444,1.084324997,1.133531456,1.138415886,1.214143131,1.17026683,1.05746063,1.168372488,1.112879415,1.091029482,1.07116675,1.246449088,1.232687252,0.800226648,0.92145617,0.686345129
A0A2K5VB66,GPX1,1.323562421,1.262065938,1.318313936,1.407889336,1.197257121,1.097127807,1.05849023,1.125989726,0.73378178,0.701223144,0.731428029,0.754286935,0.638972132,0.729316297,0.791462908,0.72740862,0.66394277,0.719018638,0.790366706,0.629381547,1.258914949,1.290016728,1.35946661,1.346606399,1.086592875,1.088249042,1.124884033,1.067444923,0.89692138,1.121173079,0.900390315,1.058053647
A0A2K5VBQ7,FLNA,1.226417979,1.252057036,1.28700522,1.288112473,0.755070238,0.74794199,0.738261318,0.761436533,0.869538049,0.887131068,0.875787876,0.856857952,1.249169977,1.279172431,1.308543341,1.287636765,0.819312234,0.816367762,0.78909161,0.787567702,1.476435696,1.52219395,1.503403457,1.487196555,1.014227303,0.970781978,1.030827896,1.015498594,0.5171306,0.533483496,0.520782894,0.525558025
A0A2K5VI33,PLA2G4A,0.465675002,0.950629042,0.936202073,0.852005112,0.668081539,0.855757251,0.958262563,0.850231473,1.191852141,0.952639166,0.943313127,1.369717845,1.555508551,1.37114913,1.304454819,1.376824774,0.798626839,0.83906305,1.04181744,0.932243697,1.244801441,1.448801503,1.351845342,1.316683301,0.91659993,1.129055711,1.031541335,1.182773587,0.434641826,0.430011117,0.540345187,0.758845088
A0A2K5VKA4,HDAC6,,,,0.963051205,0.727072296,0.970334365,1.078965582,0.531679729,1.086645181,1.860080509,1.354814977,1.241394771,,0.683251007,,0.681019619,1.254101223,1.038920662,1.099668785,1.324733149,0.651327433,0.345094915,0.787229157,1.306875249,1.452665306,0.780258618,1.022841077,1.0867879,0.76806867,,0.903118615,
A0A2K5VKS4,KATNA1,,0.436120005,0.534210341,0.753926682,0.777357147,1.092864362,0.716254833,0.67442742,1.346888525,1.422497738,1.249909094,1.166675086,0.963601038,0.974440821,0.878711316,1.006024607,1.024797284,0.967840514,0.842994511,1.032885478,1.191866468,1.088458313,0.889023827,1.224796616,1.456426073,1.066622191,1.3316214,1.350821156,,1.0140865,0.81751006,0.706340595
A0A2K5VL02,NAPEPLD,0.780752174,0.652051583,0.508231699,0.701554323,0.641406034,0.671395042,0.698533729,0.727253855,1.145919721,1.08997927,0.812460238,0.925803621,1.337602594,1.372158645,1.422470764,1.277300359,1.266332924,1.079021165,1.236663469,1.371020383,1.200803548,0.939124553,1.123016861,1.071069657,1.218155047,1.387091338,1.155226413,1.046160844,0.465964388,1.169214442,0.814155969,0.692105348
A0A2K5VM36,DAG1,1.009076984,0.483777392,1.193438249,1.561781726,1.00663794,1.262625976,1.144891176,1.175628091,,0.820863199,0.71165354,1.18049378,1.487193385,1.26208928,1.073623974,1.646035908,0.947420714,0.807231476,1.130214401,1.186470058,0.768596451,1.212583948,1.135583132,1.278234441,0.829723111,0.389876852,0.717574909,,0.387678702,,0.624405906,0.564595302
